3609,OSW46,FROM OSWEGO
3615,OSW46,FROM OSWEGO
3621,OSW46,FROM OSWEGO
3617,OSW46,FROM OSWEGO
15774,OSW46,FROM OSWEGO
15775,OSW46,FROM OSWEGO
15776,OSW46,FROM OSWEGO
15556,OSW46,FROM OSWEGO
15777,OSW46,FROM OSWEGO
15778,OSW46,FROM OSWEGO
15779,OSW46,FROM OSWEGO
15780,OSW46,FROM OSWEGO
15781,OSW46,FROM OSWEGO
15782,OSW46,FROM OSWEGO
15783,OSW46,FROM OSWEGO
3484,OSW46,FROM OSWEGO
3474,OSW46,FROM OSWEGO
3462,OSW46,FROM OSWEGO
3449,OSW46,FROM OSWEGO
17112,OSW46,FROM OSWEGO
15770,OSW46,FROM OSWEGO
15771,OSW46,FROM OSWEGO
15772,OSW46,FROM OSWEGO
15686,OSW46,FROM OSWEGO
15546,OSW46,FROM OSWEGO
17678,OSW46,TO OSWEGO
7165,OSW46,TO OSWEGO
9054,OSW46,TO OSWEGO
7755,OSW46,TO OSWEGO
47,OSW46,TO OSWEGO
8724,OSW46,TO OSWEGO
17825,OSW46,TO OSWEGO
8725,OSW46,TO OSWEGO
8726,OSW46,TO OSWEGO
8727,OSW46,TO OSWEGO
10222,OSW46,TO OSWEGO
8731,OSW46,TO OSWEGO
8733,OSW46,TO OSWEGO
17826,OSW46,TO OSWEGO
8734,OSW46,TO OSWEGO
17423,OSW46,TO OSWEGO
8737,OSW46,TO OSWEGO
8738,OSW46,TO OSWEGO
17424,OSW46,TO OSWEGO
8740,OSW46,TO OSWEGO
10223,OSW46,TO OSWEGO
2022,OSW46,TO OSWEGO
8927,OSW46,TO OSWEGO
8929,OSW46,TO OSWEGO
8930,OSW46,TO OSWEGO
8940,OSW46,TO OSWEGO
8941,OSW46,TO OSWEGO
8943,OSW46,TO OSWEGO
17999,OSW46,TO OSWEGO
8944,OSW46,TO OSWEGO
8945,OSW46,TO OSWEGO
17827,OSW46,TO OSWEGO
10231,OSW46,TO OSWEGO
10232,OSW46,TO OSWEGO
17971,OSW46,TO OSWEGO
8953,OSW46,TO OSWEGO
17828,OSW46,TO OSWEGO
16211,OSW46,TO OSWEGO
8976,OSW46,TO OSWEGO
9007,OSW46,TO OSWEGO
8978,OSW46,TO OSWEGO
8979,OSW46,TO OSWEGO
1954,OSW46,TO OSWEGO
8980,OSW46,TO OSWEGO
8981,OSW46,TO OSWEGO
8982,OSW46,TO OSWEGO
17829,OSW46,TO OSWEGO
8984,OSW46,TO OSWEGO
8700,OSW46,TO OSWEGO
8721,OSW46,TO OSWEGO
8702,OSW46,TO OSWEGO
1947,OSW46,TO OSWEGO
17830,OSW46,TO OSWEGO
16214,OSW46,TO OSWEGO
18000,OSW46,TO OSWEGO
16215,OSW46,TO OSWEGO
17978,OSW46,TO OSWEGO
17993,OSW46,TO OSWEGO
17072,OSW46,TO OSWEGO
18132,OSW46,TO OSWEGO
18133,OSW46,TO OSWEGO
18134,OSW46,TO OSWEGO
17995,OSW46,TO OSWEGO
16219,OSW46,TO OSWEGO
16220,OSW46,TO OSWEGO
17994,OSW46,TO OSWEGO
17979,OSW46,TO OSWEGO
16221,OSW46,TO OSWEGO
16222,OSW46,TO OSWEGO
3237,OSW46,TO OSWEGO
16224,OSW46,TO OSWEGO
3232,OSW46,TO OSWEGO
3261,OSW46,TO OSWEGO
3240,OSW46,TO OSWEGO
3246,OSW46,TO OSWEGO
16225,OSW46,TO OSWEGO
3251,OSW46,TO OSWEGO
3264,OSW46,TO OSWEGO
16226,OSW46,TO OSWEGO
3265,OSW46,TO OSWEGO
3273,OSW46,TO OSWEGO
3272,OSW46,TO OSWEGO
15558,OSW46,TO OSWEGO
3287,OSW46,TO OSWEGO
3292,OSW46,TO OSWEGO
18223,OSW46,TO OSWEGO
18224,OSW46,TO OSWEGO
18225,OSW46,TO OSWEGO
18226,OSW46,TO OSWEGO
18227,OSW46,TO OSWEGO
18228,OSW46,TO OSWEGO
18229,OSW46,TO OSWEGO
9673,OSW46,TO OSWEGO
3368,OSW46,TO OSWEGO
16227,OSW46,TO OSWEGO
16229,OSW46,TO OSWEGO
15804,OSW46,TO OSWEGO
3397,OSW46,TO OSWEGO
3403,OSW46,TO OSWEGO
3426,OSW46,TO OSWEGO
9671,OSW46,TO OSWEGO
3437,OSW46,TO OSWEGO
3466,OSW46,TO OSWEGO
3487,OSW46,TO OSWEGO
15784,OSW46,TO OSWEGO
15785,OSW46,TO OSWEGO
15786,OSW46,TO OSWEGO
15787,OSW46,TO OSWEGO
15788,OSW46,TO OSWEGO
15789,OSW46,TO OSWEGO
17497,OSW46,TO OSWEGO
16233,OSW46,TO OSWEGO
16234,OSW46,TO OSWEGO
16235,OSW46,TO OSWEGO
15556,OSW46,TO OSWEGO
15792,OSW46,TO OSWEGO
15793,OSW46,TO OSWEGO
3618,OSW46,TO OSWEGO
3622,OSW46,TO OSWEGO
3612,OSW46,TO OSWEGO
3605,OSW46,TO OSWEGO
3579,OSW46,TO OSWEGO
3561,OSW46,TO OSWEGO
3557,OSW46,TO OSWEGO
3550,OSW46,TO OSWEGO
3537,OSW46,TO OSWEGO
3518,OSW46,TO OSWEGO
3510,OSW46,TO OSWEGO
16013,OSW46,TO OSWEGO
16016,OSW46,TO OSWEGO
15790,OSW46,TO OSWEGO
15791,OSW46,TO OSWEGO
15521,OSW46,FROM OSWEGO
9679,OSW46,FROM OSWEGO
9682,OSW46,FROM OSWEGO
9684,OSW46,FROM OSWEGO
16023,OSW46,FROM OSWEGO
3505,OSW46,FROM OSWEGO
9686,OSW46,FROM OSWEGO
3548,OSW46,FROM OSWEGO
16025,OSW46,FROM OSWEGO
3553,OSW46,FROM OSWEGO
3569,OSW46,FROM OSWEGO
3563,OSW46,FROM OSWEGO
3581,OSW46,FROM OSWEGO
3590,OSW46,FROM OSWEGO
16188,OSW46,FROM OSWEGO
16189,OSW46,FROM OSWEGO
16190,OSW46,FROM OSWEGO
15540,OSW46,FROM OSWEGO
3426,OSW46,FROM OSWEGO
3409,OSW46,FROM OSWEGO
3416,OSW46,FROM OSWEGO
15805,OSW46,FROM OSWEGO
15806,OSW46,FROM OSWEGO
3388,OSW46,FROM OSWEGO
9829,OSW46,FROM OSWEGO
9673,OSW46,FROM OSWEGO
18215,OSW46,FROM OSWEGO
18216,OSW46,FROM OSWEGO
18217,OSW46,FROM OSWEGO
18218,OSW46,FROM OSWEGO
18219,OSW46,FROM OSWEGO
18220,OSW46,FROM OSWEGO
18221,OSW46,FROM OSWEGO
18222,OSW46,FROM OSWEGO
3290,OSW46,FROM OSWEGO
15557,OSW46,FROM OSWEGO
3275,OSW46,FROM OSWEGO
3266,OSW46,FROM OSWEGO
3268,OSW46,FROM OSWEGO
3281,OSW46,FROM OSWEGO
3267,OSW46,FROM OSWEGO
3247,OSW46,FROM OSWEGO
3243,OSW46,FROM OSWEGO
3250,OSW46,FROM OSWEGO
3241,OSW46,FROM OSWEGO
3244,OSW46,FROM OSWEGO
3234,OSW46,FROM OSWEGO
3229,OSW46,FROM OSWEGO
3239,OSW46,FROM OSWEGO
16193,OSW46,FROM OSWEGO
16194,OSW46,FROM OSWEGO
17997,OSW46,FROM OSWEGO
16201,OSW46,FROM OSWEGO
16203,OSW46,FROM OSWEGO
8703,OSW46,FROM OSWEGO
17832,OSW46,FROM OSWEGO
1950,OSW46,FROM OSWEGO
8722,OSW46,FROM OSWEGO
17055,OSW46,FROM OSWEGO
17833,OSW46,FROM OSWEGO
9003,OSW46,FROM OSWEGO
9004,OSW46,FROM OSWEGO
9005,OSW46,FROM OSWEGO
9006,OSW46,FROM OSWEGO
17834,OSW46,FROM OSWEGO
8977,OSW46,FROM OSWEGO
9008,OSW46,FROM OSWEGO
9009,OSW46,FROM OSWEGO
1963,OSW46,FROM OSWEGO
17835,OSW46,FROM OSWEGO
17836,OSW46,FROM OSWEGO
9032,OSW46,FROM OSWEGO
7800,OSW46,FROM OSWEGO
7798,OSW46,FROM OSWEGO
17837,OSW46,FROM OSWEGO
17838,OSW46,FROM OSWEGO
9038,OSW46,FROM OSWEGO
17839,OSW46,FROM OSWEGO
9039,OSW46,FROM OSWEGO
16209,OSW46,FROM OSWEGO
9040,OSW46,FROM OSWEGO
9041,OSW46,FROM OSWEGO
9042,OSW46,FROM OSWEGO
9043,OSW46,FROM OSWEGO
17840,OSW46,FROM OSWEGO
8814,OSW46,FROM OSWEGO
8816,OSW46,FROM OSWEGO
8818,OSW46,FROM OSWEGO
17841,OSW46,FROM OSWEGO
8819,OSW46,FROM OSWEGO
8820,OSW46,FROM OSWEGO
17842,OSW46,FROM OSWEGO
8735,OSW46,FROM OSWEGO
8822,OSW46,FROM OSWEGO
9918,OSW46,FROM OSWEGO
8826,OSW46,FROM OSWEGO
10226,OSW46,FROM OSWEGO
8828,OSW46,FROM OSWEGO
17843,OSW46,FROM OSWEGO
7169,OSW46,FROM OSWEGO
7186,OSW46,FROM OSWEGO
7194,OSW46,FROM OSWEGO
12669,OSW46,FROM OSWEGO
100,OSW46,FROM OSWEGO
6604,OSW46,FROM OSWEGO
6628,OSW46,FROM OSWEGO
6764,OSW46,FROM OSWEGO
6767,OSW46,FROM OSWEGO
5425,OSW46,FROM OSWEGO
5418,OSW46,FROM OSWEGO
17660,OSW46,TO OSWEGO
5426,OSW46,TO OSWEGO
6766,OSW46,TO OSWEGO
7705,OSW46,TO OSWEGO
17676,OSW46,TO OSWEGO
17677,OSW46,TO OSWEGO
9617,OSW46,TO OSWEGO
9863,OSW46,TO OSWEGO
17978,OSW46,FROM OSWEGO
17993,OSW46,FROM OSWEGO
17072,OSW46,FROM OSWEGO
17995,OSW46,FROM OSWEGO
17996,OSW46,FROM OSWEGO
17660,OSW46,FROM OSWEGO
6055,OSW46,FROM OSWEGO
10561,OSW46,FROM OSWEGO
10121,OSW46,TO OSWEGO
5427,OSW46,TO OSWEGO
5418,OSW46,TO OSWEGO
17045,OSW46,TO OSWEGO
18132,OSW46,FROM OSWEGO
18133,OSW46,FROM OSWEGO
16219,OSW46,FROM OSWEGO
16220,OSW46,FROM OSWEGO
17994,OSW46,FROM OSWEGO
17979,OSW46,FROM OSWEGO
47,OSW46,FROM OSWEGO
7755,OSW46,FROM OSWEGO
15540,OSW46,TO OSWEGO
