stop_id, Route,stop_lat,stop_lon,stop_name
3581, Walmart Via 104,43.456214,-76.512294,W Bridge St & W 2nd St
9695, Walmart Via 104,43.457855,-76.506776,E Bridge & E 2nd St
9696, Walmart Via 104,43.458451,-76.504755,E Bridge St & E 4th St
9726, Walmart Via 104,43.459028,-76.50287,E Bridge St & E 6th St
9727, Walmart Via 104,43.459389,-76.501555,E Bridge St & E 7th St
9729, Walmart Via 104,43.460002,-76.499497,E Bridge St & E 9th St
9731, Walmart Via 104,43.460418,-76.497264,Route 104 & E 10th St
9735, Walmart Via 104,43.460481,-76.492335,Route 104 & E 12th St
9736, Walmart Via 104,43.460557,-76.489964,Route 104 & E 13th St
9737, Walmart Via 104,43.460925,-76.484603,Route 104 & George St
9614, Walmart Via 104,43.464189,-76.477947,Walmart - Oswego
16875, Walmart Via 104,43.464001,-76.472633,Lowe's Home Improvement
18044, Price Chopper,43.45849,-76.512129,Saint Luke Apartments Osw
16317, Price Chopper,43.455223,-76.510453,W 1st St & W Oneida St
15998, Price Chopper,43.462266,-76.486519,Price Chopper Plaza Osw
17539, Blue Route,43.447158,-76.549172,SUNY Oswego The Village Residence
15529, Blue Route,43.449636,-76.550735,SUNY Oswego New Campus
15527, Blue Route,43.449798,-76.550587,SUNY Oswego New Campus
17968, Blue Route,43.450453,-76.54982,Oneida Hall & Onondaga Hall
16182, Blue Route,43.451412,-76.549911,Rudolph St & Onondaga Hall
17969, Blue Route,43.452499,-76.548364,Resident 12 Parking Lot
16170, Blue Route,43.454301,-76.543953,Penfield Library
16183, Blue Route,43.454218,-76.545082,Penfield Library
16184, Blue Route,43.455469,-76.542468,Walker Health Center
16169, Blue Route,43.455397,-76.542766,Walker Health Center
16185, Blue Route,43.456567,-76.540028,Rudolph St & Centennial Dr
16168, Blue Route,43.456702,-76.539817,Rudolph St & Centennial Dr
9679, Blue Route,43.453526,-76.537855,Washington Blvd & Baylis St
9682, Blue Route,43.45364,-76.534901,Washington Blvd & Sheldon Ave
16164, Blue Route,43.454939,-76.534832,Sheldon Ave & Takamine Rd
15521, Green Route,43.453987,-76.540364,SUNY Oswego Campus Center
9679, Green Route,43.453526,-76.537855,Washington Blvd & Baylis St
9682, Green Route,43.45364,-76.534901,Washington Blvd & Sheldon Ave
9684, Green Route,43.453708,-76.532555,Washington Blvd & Fifth Ave
16086, Green Route,43.451854,-76.532274,5th Ave & Hwy 104
16160, Green Route,43.450246,-76.534378,SUNY Oswego Romney Lot Shelter
15534, Green Route,43.445334,-76.535549,SUNY Oswego Laker Hall
3581, Oswego - Syracuse,43.456214,-76.512294,W Bridge St & W 2nd St
3590, Oswego - Syracuse,43.457531,-76.507879,E Bridge St & E 1st St
3609, Oswego - Syracuse,43.45516,-76.506368,E 1st St & E Mohawk St
3615, Oswego - Syracuse,43.453961,-76.505681,E 1st St & E Utica St
3621, Oswego - Syracuse,43.452726,-76.504994,E 1st St & E Albany St
3617, Oswego - Syracuse,43.450472,-76.50326,E River Rd & Hubbard St
15774, Oswego - Syracuse,43.442639,-76.490782,E River Rd & Woodridge
15775, Oswego - Syracuse,43.431645,-76.482255,Hwy 481 & E River Rd
15776, Oswego - Syracuse,43.429573,-76.478798,Hwy 481 & Churchill Rd
15777, Oswego - Syracuse,43.413236,-76.46661,Hwy 481 & Dutch Ridge
15778, Oswego - Syracuse,43.401599,-76.461587,Hwy 481 & CR 45
15779, Oswego - Syracuse,43.383386,-76.446116,Hwy 481 & March Rd
15780, Oswego - Syracuse,43.375925,-76.439808,Hwy 481 & CR 57
15781, Oswego - Syracuse,43.367167,-76.432047,Hwy 481 & Chalone Rd
15782, Oswego - Syracuse,43.360707,-76.427145,Hwy 481 & Van Buren Dr
15783, Oswego - Syracuse,43.346729,-76.424184,Hwy 481
3484, Oswego - Syracuse,43.335062,-76.414823,N 2nd St & N 1st St
3474, Oswego - Syracuse,43.332087,-76.415571,N 2nd St & Shaw St
3462, Oswego - Syracuse,43.330421,-76.416026,County Office Building
3449, Oswego - Syracuse,43.325181,-76.41662,N 2nd St & Oneida St
17112, Oswego - Syracuse,43.324446,-76.423346,Oneida St & W 1st St
15770, Oswego - Syracuse,43.323131,-76.422636,W 1st St S & Schuyler St
15771, Oswego - Syracuse,43.322137,-76.422027,W 1st St S & Hart St
15772, Oswego - Syracuse,43.320911,-76.421293,W 1st St S & Phillips St
15713, Oswego - Syracuse,43.317786,-76.433735,Phillips St & Edgarton Dr
15544, Oswego - Syracuse,43.320416,-76.435973,Fulton Commons
17652, SY76,43.043746,-76.151481,B13
102, SY76,43.047059,-76.152205,S Salina St & Jefferson St
6604, SY76,43.049564,-76.150906,E Washington St & S Warren St
6628, SY76,43.049499,-76.14745,E Washington St & S State St
6635, SY76,43.049507,-76.145797,E Washington St & S Townsend St
14398, SY76,43.048021,-76.145614,E Genesee St & S Townsend St
2141, SY76,43.047383,-76.142838,E Genesee St & Almond St
2145, SY76,43.046933,-76.140297,E Genesee St & Forman Ave
2149, SY76,43.046967,-76.137903,E Genesee St & Irving Ave
2153, SY76,43.046859,-76.136681,E Genesee St & S Crouse Ave
2157, SY76,43.046857,-76.134423,E Genesee St & University Ave
2163, SY76,43.046899,-76.132239,E Genesee St & Walnut Ave
7989, SY76,43.046933,-76.129919,E Genesee St & Pine St
2175, SY76,43.046987,-76.129684,E Genesee St & Pine St
2182, SY76,43.047038,-76.127549,E Genesee St & S Beech St
11185, SY76,43.047003,-76.127784,E Genesee St & Beech St
2184, SY76,43.047019,-76.125686,E Genesee St & Maple St
2186, SY76,43.047072,-76.125451,E Genesee St & Maple St
2192, SY76,43.046865,-76.123379,E Genesee St & Cherry St
2201, SY76,43.046533,-76.122639,E Genesee St & Bassett St
2199, SY76,43.046559,-76.122552,E Genesee St & Bassett St
2205, SY76,43.04603,-76.121356,E Genesee St & Columbus Ave
2214, SY76,43.04559,-76.119605,E Genesee St & Westcott St
1635, SY76,43.045536,-76.119778,E Genesee St & Westcott St
2215, SY76,43.045597,-76.118038,E Genesee St & Cambridge St
2228, SY76,43.04556,-76.116767,E Genesee St & Allen St
9150, SY76,43.045442,-76.115644,E Genesee St & Fellows Ave
1718, SY76,43.045262,-76.114398,E Genesee St & Westmoreland Ave
2172, SY76,43.045091,-76.113325,E Genesee St & Ellis St
5530, SY76,43.045044,-76.111227,Salt Springs Rd & Bruce St
5540, SY76,43.0454,-76.109006,Salt Springs Rd & Genesee Park Dr
5551, SY76,43.045605,-76.107845,Salt Springs Rd & Beattie St
7619, SY76,43.045934,-76.105747,Salt Springs Rd & East Ave
11309, SY76,43.046424,-76.103537,Seeley Rd & Salt Springs Rd
8432, SY76,43.04782,-76.103657,Seeley Rd & Niven St
8431, SY76,43.048984,-76.103556,Fayette Blvd & Seeley Rd
8430, SY76,43.049159,-76.100101,Fayette Blvd & Ball Av
8429, SY76,43.04929,-76.097509,Fayette Blvd & Salisbury Park Dr
8428, SY76,43.049352,-76.096225,Fayette Blvd & Melbourne Av
8427, SY76,43.049449,-76.094855,Fayette Blvd & Audubon Pky
8426, SY76,43.049537,-76.09351,Fayette Blvd & Foxboro Rd
14399, SY76,43.049499,-76.092313,Springfield Rd & Fayette Blvd
8425, SY76,43.05127,-76.090408,Springfield Rd & Smith St
8424, SY76,43.051392,-76.088323,Springfield Rd & Caton Dr
8423, SY76,43.051506,-76.086126,Springfield Rd & Caton Dr
8422, SY76,43.051681,-76.082633,Springfield Rd & Masters Rd
22, SY76,43.05166,-76.080436,Thompson Rd & Springfield Rd
8419, SY76,43.04759,-76.076189,Thompson Rd & Orrick Rd
1740, SY76,43.046532,-76.075118,Thompson Rd & Radcliffe Rd
5734, SY76,43.044766,-76.072617,Thompson Rd & Stanton Rd
5739, SY76,43.044164,-76.070965,Thompson Rd & Gregory Pkwy
1760, SY76,43.042656,-76.068538,Kinne Rd & Thompson Rd
18235, SY76,43.044715,-76.068508,Erie Blvd E & Erie Canal Plaza
17872, SY76,43.051468,-76.070169,Bridge St & Celi Dr
18279, SY76,43.0528,-76.068672,Bridge St & Widewaters Pkwy
8149, SY76,43.053074,-76.066426,Widewaters Pkwy & Bridge St
2691, SY76,43.05192,-76.060949,Widewaters Pkwy & Towpath Rd
8154, SY76,43.049233,-76.059858,Widewaters Pkwy & 5793 Widewaters
8155, SY76,43.048277,-76.060885,Widewaters Pkwy & 5792 Widewaters
8156, SY76,43.047993,-76.062613,Widewaters Pkwy & Elevate Fitness
8157, SY76,43.045908,-76.063532,5784 Widewaters Pkwy
12010, SY76,43.04342,-76.064119,Widewaters Pkwy & Kinne Rd
8444, SY76,43.042814,-76.065922,Kinne Rd & Erie Blvd E
